,window_len,feature_set,classifier,overall_accuracy,stdev
0,128,FrequencyAll,KNN,0.8272302010351085,0.018225999619723574
1,128,FrequencyAll,RandomForest,0.8494962312726878,0.01828660886794463
2,128,FrequencyAll,SVC,0.8697285359981113,0.015603808500495836
3,128,Time,KNN,0.826458448295439,0.032953767888657275
4,128,Time,RandomForest,0.8434585225738654,0.031080723954960268
5,128,Time,SVC,0.861458364140927,0.035968338632596575
6,128,TimeFrequency,KNN,0.9055249883239045,0.01808462487337195
7,128,TimeFrequency,RandomForest,0.8928928551439619,0.03137035385037714
8,128,TimeFrequency,SVC,0.9127296325427026,0.020068406169678317
9,320,FrequencyAll,KNN,0.8865926149845352,0.017014403560991664
10,320,FrequencyAll,RandomForest,0.9340457936101089,0.0065252962347124585
11,320,FrequencyAll,SVC,0.945753731071289,0.010599167324827276
12,320,Time,KNN,0.8781025232789622,0.043578292205687146
13,320,Time,RandomForest,0.9049785034308261,0.035157354528055636
14,320,Time,SVC,0.9080042698033648,0.04243306131197021
15,320,TimeFrequency,KNN,0.965415880433335,0.009961677924071839
16,320,TimeFrequency,RandomForest,0.9600854028946679,0.012298013759944033
17,320,TimeFrequency,SVC,0.9694528766402017,0.013126187240389612
