,window_length,feature,model,measure,electricPanel,hoist,ladder,lift,overhead,push,sit,stand,type,walk,overall_accuracy,overall_accuracy_stdev
0,4,Frequency,RF,f1-score,0.85,0.8,0.74,0.81,0.84,0.87,0.93,0.91,0.91,0.98,0.85,0.02
1,4,Frequency,RF,precision,0.81,0.86,0.74,0.81,0.9,0.86,0.94,0.9,0.89,0.96,0.85,0.02
2,4,Frequency,RF,recall,0.88,0.76,0.75,0.82,0.79,0.88,0.92,0.91,0.94,0.99,0.85,0.02
3,4,Frequency,SVM,f1-score,0.88,0.82,0.78,0.83,0.89,0.92,0.91,0.9,0.92,0.98,0.87,0.02
4,4,Frequency,SVM,precision,0.87,0.83,0.76,0.87,0.91,0.93,0.89,0.87,0.93,0.99,0.87,0.02
5,4,Frequency,SVM,recall,0.89,0.82,0.79,0.8,0.86,0.91,0.94,0.94,0.9,0.97,0.87,0.02
6,4,Frequency,k-NN,f1-score,0.84,0.76,0.72,0.76,0.78,0.88,0.91,0.91,0.9,0.98,0.83,0.02
7,4,Frequency,k-NN,precision,0.84,0.93,0.67,0.72,0.95,0.85,0.88,0.88,0.92,1.0,0.83,0.02
8,4,Frequency,k-NN,recall,0.83,0.65,0.78,0.8,0.66,0.92,0.94,0.94,0.9,0.97,0.83,0.02
9,4,Time,RF,f1-score,0.85,0.8,0.74,0.8,0.97,0.87,0.88,0.85,0.87,0.95,0.84,0.03
10,4,Time,RF,precision,0.83,0.81,0.7,0.83,0.98,0.89,0.89,0.89,0.91,0.97,0.84,0.03
11,4,Time,RF,recall,0.87,0.8,0.79,0.78,0.96,0.85,0.88,0.83,0.84,0.94,0.84,0.03
12,4,Time,SVM,f1-score,0.87,0.83,0.77,0.83,0.98,0.88,0.9,0.87,0.88,0.95,0.86,0.04
13,4,Time,SVM,precision,0.84,0.84,0.75,0.84,0.99,0.9,0.87,0.86,0.93,0.98,0.86,0.04
14,4,Time,SVM,recall,0.9,0.82,0.8,0.81,0.97,0.85,0.94,0.89,0.84,0.93,0.86,0.04
15,4,Time,k-NN,f1-score,0.84,0.81,0.7,0.79,0.97,0.87,0.83,0.84,0.82,0.94,0.83,0.03
16,4,Time,k-NN,precision,0.81,0.85,0.72,0.75,0.99,0.88,0.84,0.86,0.81,0.95,0.83,0.03
17,4,Time,k-NN,recall,0.88,0.78,0.7,0.85,0.94,0.86,0.83,0.83,0.83,0.94,0.83,0.03
18,4,Time Frequency,RF,f1-score,0.9,0.87,0.81,0.84,0.97,0.93,0.93,0.89,0.94,0.98,0.89,0.03
19,4,Time Frequency,RF,precision,0.89,0.9,0.77,0.87,0.97,0.95,0.95,0.9,0.96,0.98,0.89,0.03
20,4,Time Frequency,RF,recall,0.91,0.85,0.86,0.82,0.97,0.91,0.91,0.88,0.93,0.97,0.89,0.03
21,4,Time Frequency,SVM,f1-score,0.94,0.91,0.84,0.87,0.97,0.95,0.94,0.89,0.94,0.97,0.91,0.02
22,4,Time Frequency,SVM,precision,0.93,0.9,0.83,0.89,0.98,0.97,0.94,0.87,0.95,0.99,0.91,0.02
23,4,Time Frequency,SVM,recall,0.95,0.92,0.85,0.85,0.97,0.93,0.94,0.92,0.94,0.96,0.91,0.02
24,4,Time Frequency,k-NN,f1-score,0.93,0.9,0.82,0.85,0.97,0.94,0.93,0.89,0.93,0.99,0.91,0.02
25,4,Time Frequency,k-NN,precision,0.9,0.95,0.84,0.82,0.99,0.94,0.92,0.86,0.95,0.99,0.91,0.02
26,4,Time Frequency,k-NN,recall,0.96,0.87,0.81,0.87,0.95,0.94,0.95,0.93,0.93,0.99,0.91,0.02
27,10,Frequency,RF,f1-score,0.89,0.92,0.91,0.92,0.9,0.95,0.94,0.98,0.95,0.99,0.93,0.01
28,10,Frequency,RF,precision,0.89,0.92,0.89,0.94,0.96,0.92,0.97,0.99,0.97,0.98,0.93,0.01
29,10,Frequency,RF,recall,0.9,0.93,0.94,0.91,0.85,0.97,0.92,0.98,0.94,1.0,0.93,0.01
30,10,Frequency,SVM,f1-score,0.91,0.91,0.93,0.94,0.92,0.99,0.96,0.99,0.95,0.99,0.95,0.01
31,10,Frequency,SVM,precision,0.91,0.87,0.92,0.96,0.95,0.99,0.95,0.98,0.98,1.0,0.95,0.01
32,10,Frequency,SVM,recall,0.92,0.94,0.94,0.92,0.9,0.98,0.98,0.99,0.93,0.98,0.95,0.01
33,10,Frequency,k-NN,f1-score,0.87,0.84,0.85,0.82,0.8,0.95,0.92,0.97,0.9,0.98,0.89,0.02
34,10,Frequency,k-NN,precision,0.86,0.98,0.8,0.82,0.97,0.92,0.87,0.94,0.9,1.0,0.89,0.02
35,10,Frequency,k-NN,recall,0.89,0.75,0.92,0.82,0.68,0.98,0.97,0.99,0.9,0.97,0.89,0.02
36,10,Time,RF,f1-score,0.87,0.87,0.85,0.83,0.98,0.93,0.93,0.98,0.92,0.99,0.9,0.04
