,electricPanel,hoist,ladder,lift,overhead,push,sit,stand,type,walk
precision,0.83,0.96,0.7,0.76,0.91,0.85,0.81,0.89,0.86,1.0
recall,0.87,0.69,0.82,0.84,0.69,0.87,0.94,0.87,0.76,0.96
f1-score,0.85,0.8,0.76,0.8,0.78,0.86,0.87,0.88,0.81,0.98
support,360,441,862,516,360,493,360,360,360,357
precision,0.84,1.0,0.9,0.87,0.96,0.94,0.8,0.88,0.84,1.0
recall,0.93,0.8,0.92,0.91,0.72,0.96,0.97,1.0,0.78,0.95
f1-score,0.88,0.89,0.91,0.89,0.83,0.95,0.87,0.94,0.81,0.97
support,144,174,340,204,144,194,144,144,144,143
precision,0.82,0.95,0.77,0.81,0.92,0.85,0.87,0.88,0.85,0.97
recall,0.95,0.84,0.8,0.83,0.76,0.85,0.93,0.85,0.85,0.99
f1-score,0.88,0.89,0.78,0.82,0.83,0.85,0.9,0.86,0.85,0.98
support,360,441,862,516,360,493,360,360,360,357
precision,0.87,0.97,0.93,0.91,0.97,0.9,0.88,0.95,0.9,0.99
recall,0.92,0.94,0.94,0.93,0.8,0.98,0.9,0.98,0.83,1.0
f1-score,0.9,0.96,0.93,0.92,0.87,0.94,0.89,0.96,0.86,0.99
support,144,174,340,204,144,194,144,144,144,143
precision,0.86,0.9,0.83,0.83,0.93,0.93,0.85,0.86,0.87,0.99
recall,0.94,0.83,0.8,0.86,0.91,0.9,0.94,0.94,0.83,0.97
f1-score,0.9,0.87,0.81,0.85,0.92,0.91,0.89,0.89,0.85,0.98
support,360,441,862,516,360,493,360,360,360,357
precision,0.9,0.96,0.98,0.92,0.95,0.99,0.85,0.93,0.96,1.0
recall,0.98,0.93,0.94,0.95,0.94,0.99,0.98,0.99,0.79,1.0
f1-score,0.94,0.95,0.96,0.93,0.94,0.99,0.91,0.96,0.87,1.0
support,144,174,340,204,144,194,144,144,144,143
precision,0.94,0.98,0.87,0.83,0.99,0.92,0.88,0.85,0.93,1.0
recall,0.98,0.89,0.8,0.88,0.98,0.97,0.95,0.93,0.86,0.99
f1-score,0.96,0.93,0.84,0.85,0.98,0.95,0.91,0.89,0.89,0.99
support,360,441,862,516,360,493,360,360,360,357
precision,0.97,0.99,0.98,0.91,1.0,0.98,0.89,0.94,0.97,1.0
recall,0.99,0.96,0.94,0.95,0.98,1.0,0.97,1.0,0.86,1.0
f1-score,0.98,0.97,0.95,0.93,0.99,0.99,0.93,0.97,0.91,1.0
support,144,174,340,204,144,194,144,144,144,143
precision,0.95,0.92,0.77,0.86,0.95,0.97,0.88,0.91,0.95,0.99
recall,0.88,0.85,0.87,0.84,0.97,0.93,0.95,0.83,0.86,0.98
f1-score,0.91,0.88,0.82,0.85,0.96,0.95,0.91,0.87,0.9,0.99
support,360,441,862,516,360,493,360,360,360,357
precision,0.96,0.99,0.97,0.98,0.95,0.98,0.89,0.94,0.99,0.99
recall,0.96,0.94,0.98,0.96,0.99,0.99,0.99,0.99,0.83,1.0
f1-score,0.96,0.97,0.97,0.97,0.97,0.99,0.94,0.97,0.91,1.0
support,144,174,340,204,144,194,144,144,144,143
precision,0.98,0.93,0.84,0.88,0.98,0.97,0.91,0.86,0.95,0.99
recall,0.95,0.93,0.87,0.85,0.98,0.95,0.92,0.88,0.91,0.99
f1-score,0.96,0.93,0.86,0.86,0.98,0.96,0.92,0.87,0.93,0.99
support,360,441,862,516,360,493,360,360,360,357
precision,0.99,0.96,0.99,0.95,0.97,1.0,0.91,0.95,0.95,1.0
recall,0.95,0.99,0.97,0.95,1.0,1.0,0.93,0.98,0.92,0.99
f1-score,0.97,0.97,0.98,0.95,0.98,1.0,0.92,0.96,0.93,0.99
support,144,174,340,204,144,194,144,144,144,143
precision,0.94,0.92,0.73,0.77,0.97,0.92,0.81,0.79,0.86,0.98
recall,0.91,0.81,0.76,0.84,0.97,0.91,0.93,0.72,0.78,0.98
f1-score,0.93,0.86,0.74,0.8,0.97,0.92,0.87,0.76,0.82,0.98
support,360,441,862,516,360,493,360,360,360,357
precision,0.92,0.98,0.85,0.83,0.97,0.97,0.81,0.92,0.88,0.99
recall,0.94,0.9,0.89,0.76,1.0,0.95,0.91,0.99,0.79,1.0
f1-score,0.93,0.93,0.87,0.79,0.99,0.96,0.86,0.96,0.84,0.99
support,144,174,340,204,144,194,144,144,144,143
precision,0.93,0.89,0.69,0.82,0.96,0.93,0.82,0.87,0.9,0.98
recall,0.84,0.84,0.82,0.8,0.97,0.89,0.92,0.69,0.79,0.98
f1-score,0.89,0.86,0.75,0.81,0.96,0.91,0.87,0.77,0.84,0.98
support,360,441,862,516,360,493,360,360,360,357
precision,0.93,0.93,0.88,0.91,0.96,0.98,0.84,0.93,0.91,0.95
recall,0.94,0.86,0.92,0.81,0.98,0.99,0.92,0.99,0.82,0.99
f1-score,0.93,0.89,0.9,0.85,0.97,0.98,0.87,0.96,0.86,0.97
support,144,174,340,204,144,194,144,144,144,143
precision,0.88,0.88,0.78,0.86,0.96,0.96,0.81,0.82,0.86,0.99
recall,0.9,0.84,0.84,0.78,0.98,0.84,0.94,0.91,0.74,0.97
f1-score,0.89,0.86,0.81,0.81,0.97,0.9,0.87,0.86,0.8,0.98
support,360,441,862,516,360,493,360,360,360,357
precision,0.82,0.94,0.89,0.9,0.96,0.99,0.75,0.95,0.86,0.99
recall,0.91,0.94,0.93,0.79,0.99,0.88,0.92,0.99,0.68,1.0
f1-score,0.86,0.94,0.91,0.84,0.97,0.93,0.83,0.97,0.76,1.0
support,144,174,340,204,144,194,144,144,144,143
